YearMonth,Grid_X,Grid_Y,Crime_Count
2011-01,424,4645,14
2011-01,424,4647,25
2011-01,424,4648,3
2011-01,424,4649,1
2011-01,424,4651,1
2011-01,425,4647,49
2011-01,426,4647,13
2011-01,426,4648,2
2011-01,427,4649,1
2011-01,429,4646,3
2011-01,429,4647,4
2011-01,429,4648,1
2011-01,430,4643,3
2011-01,430,4644,5
2011-01,430,4646,2
2011-01,430,4647,28
2011-01,430,4648,3
2011-01,431,4643,10
2011-01,431,4644,6
2011-01,431,4647,1
2011-01,431,4649,1
2011-01,432,4642,4
2011-01,432,4643,16
2011-01,432,4644,11
2011-01,432,4647,2
2011-01,432,4648,10
2011-01,432,4649,4
2011-01,432,4650,18
2011-01,432,4651,3
2011-01,432,4652,1
2011-01,433,4626,4
2011-01,433,4627,2
2011-01,433,4640,17
2011-01,433,4641,23
2011-01,433,4642,24
2011-01,433,4643,19
2011-01,433,4644,18
2011-01,433,4646,2
2011-01,433,4647,15
2011-01,433,4648,4
2011-01,433,4649,7
2011-01,433,4650,3
2011-01,433,4651,1
2011-01,434,4625,12
2011-01,434,4626,4
2011-01,434,4627,15
2011-01,434,4639,4
2011-01,434,4640,13
2011-01,434,4641,37
2011-01,434,4642,37
2011-01,434,4643,13
2011-01,434,4644,13
2011-01,434,4645,7
2011-01,434,4646,3
2011-01,434,4647,4
2011-01,434,4648,16
2011-01,434,4649,8
2011-01,434,4650,2
2011-01,434,4651,1
2011-01,435,4625,18
2011-01,435,4626,15
2011-01,435,4627,18
2011-01,435,4635,11
2011-01,435,4636,13
2011-01,435,4637,22
2011-01,435,4638,25
2011-01,435,4639,52
2011-01,435,4640,41
2011-01,435,4641,53
2011-01,435,4642,61
2011-01,435,4643,26
2011-01,435,4644,26
2011-01,435,4645,21
2011-01,435,4646,16
2011-01,435,4647,18
2011-01,435,4648,28
2011-01,435,4649,9
2011-01,435,4650,5
2011-01,435,4651,1
2011-01,436,4625,21
2011-01,436,4626,6
2011-01,436,4627,25
2011-01,436,4635,17
2011-01,436,4636,134
2011-01,436,4637,122
2011-01,436,4638,99
2011-01,436,4639,104
2011-01,436,4640,53
2011-01,436,4641,69
2011-01,436,4642,50
2011-01,436,4643,37
2011-01,436,4644,33
2011-01,436,4645,18
2011-01,436,4646,33
2011-01,436,4647,28
2011-01,436,4648,9
2011-01,436,4649,1
2011-01,436,4650,2
2011-01,437,4625,7
2011-01,437,4627,12
2011-01,437,4628,6
2011-01,437,4629,4
2011-01,437,4635,18
2011-01,437,4636,221
2011-01,437,4637,175
2011-01,437,4638,167
2011-01,437,4639,84
2011-01,437,4640,80
2011-01,437,4641,68
2011-01,437,4642,65
2011-01,437,4643,56
2011-01,437,4644,43
2011-01,437,4645,33
2011-01,437,4646,12
2011-01,437,4647,13
2011-01,437,4648,3
2011-01,437,4649,6
2011-01,438,4620,6
2011-01,438,4621,9
2011-01,438,4622,48
2011-01,438,4623,1
2011-01,438,4624,9
2011-01,438,4625,18
2011-01,438,4626,23
2011-01,438,4627,23
2011-01,438,4628,36
2011-01,438,4629,4
2011-01,438,4631,2
2011-01,438,4632,8
2011-01,438,4633,2
2011-01,438,4634,8
2011-01,438,4635,35
2011-01,438,4636,171
2011-01,438,4637,75
2011-01,438,4638,62
2011-01,438,4639,35
2011-01,438,4640,102
2011-01,438,4641,49
2011-01,438,4642,62
2011-01,438,4643,46
2011-01,438,4644,56
2011-01,438,4645,18
2011-01,438,4646,30
2011-01,438,4647,3
2011-01,438,4648,16
2011-01,438,4649,8
2011-01,439,4620,1
2011-01,439,4621,11
2011-01,439,4622,16
2011-01,439,4623,5
2011-01,439,4624,22
2011-01,439,4625,34
2011-01,439,4626,25
2011-01,439,4627,52
2011-01,439,4628,38
2011-01,439,4629,12
2011-01,439,4630,1
2011-01,439,4631,19
2011-01,439,4632,96
2011-01,439,4633,76
2011-01,439,4634,91
2011-01,439,4635,90
2011-01,439,4636,193
2011-01,439,4637,74
2011-01,439,4638,79
2011-01,439,4639,159
2011-01,439,4640,99
2011-01,439,4641,58
2011-01,439,4642,49
2011-01,439,4643,69
2011-01,439,4644,46
2011-01,439,4645,45
2011-01,439,4646,43
2011-01,439,4647,8
2011-01,439,4648,7
2011-01,439,4649,6
2011-01,440,4615,15
2011-01,440,4616,6
2011-01,440,4617,8
2011-01,440,4620,4
2011-01,440,4621,23
2011-01,440,4622,44
2011-01,440,4623,23
2011-01,440,4624,41
2011-01,440,4625,56
2011-01,440,4626,35
2011-01,440,4627,29
2011-01,440,4628,34
2011-01,440,4629,3
2011-01,440,4630,2
2011-01,440,4631,15
2011-01,440,4632,78
2011-01,440,4633,96
2011-01,440,4634,161
2011-01,440,4635,162
2011-01,440,4636,76
2011-01,440,4637,83
2011-01,440,4638,195
2011-01,440,4639,147
2011-01,440,4640,107
2011-01,440,4641,88
2011-01,440,4642,83
2011-01,440,4643,55
2011-01,440,4644,66
2011-01,440,4645,51
2011-01,440,4646,57
2011-01,440,4647,19
2011-01,440,4648,25
2011-01,440,4649,9
2011-01,441,4615,16
2011-01,441,4616,6
2011-01,441,4617,5
2011-01,441,4620,10
2011-01,441,4621,32
2011-01,441,4622,32
2011-01,441,4623,27
2011-01,441,4624,34
2011-01,441,4625,93
2011-01,441,4626,71
2011-01,441,4627,69
2011-01,441,4628,31
2011-01,441,4629,42
2011-01,441,4630,25
2011-01,441,4631,6
2011-01,441,4632,62
2011-01,441,4633,98
2011-01,441,4634,102
2011-01,441,4635,141
2011-01,441,4636,149
2011-01,441,4637,79
2011-01,441,4638,71
2011-01,441,4639,33
2011-01,441,4640,69
2011-01,441,4641,76
2011-01,441,4642,68
2011-01,441,4643,26
2011-01,441,4644,49
2011-01,441,4645,46
2011-01,441,4646,62
2011-01,441,4647,14
2011-01,441,4648,30
2011-01,441,4649,30
2011-01,441,4650,15
2011-01,441,4651,5
2011-01,441,4652,1
2011-01,442,4614,1
2011-01,442,4615,5
2011-01,442,4616,3
2011-01,442,4617,3
2011-01,442,4618,1
2011-01,442,4620,7
2011-01,442,4621,23
2011-01,442,4622,7
2011-01,442,4623,63
2011-01,442,4624,84
2011-01,442,4625,190
2011-01,442,4626,101
2011-01,442,4627,59
2011-01,442,4628,31
2011-01,442,4629,85
2011-01,442,4630,61
2011-01,442,4631,9
2011-01,442,4632,13
2011-01,442,4633,67
2011-01,442,4634,31
2011-01,442,4635,111
2011-01,442,4636,83
2011-01,442,4637,16
2011-01,442,4638,42
2011-01,442,4639,83
2011-01,442,4640,104
2011-01,442,4641,74
2011-01,442,4642,36
2011-01,442,4643,36
2011-01,442,4644,22
2011-01,442,4645,26
2011-01,442,4646,42
2011-01,442,4647,39
2011-01,442,4648,50
2011-01,442,4649,69
2011-01,442,4650,36
2011-01,442,4651,28
2011-01,442,4652,6
2011-01,443,4614,15
2011-01,443,4615,20
2011-01,443,4616,14
2011-01,443,4617,6
2011-01,443,4618,5
2011-01,443,4619,7
2011-01,443,4620,3
2011-01,443,4621,11
2011-01,443,4622,24
2011-01,443,4623,61
2011-01,443,4624,105
2011-01,443,4625,104
2011-01,443,4626,44
2011-01,443,4627,70
2011-01,443,4628,62
2011-01,443,4629,21
2011-01,443,4630,21
2011-01,443,4631,38
2011-01,443,4632,8
2011-01,443,4633,69
2011-01,443,4634,18
2011-01,443,4635,35
2011-01,443,4636,83
2011-01,443,4637,31
2011-01,443,4638,88
2011-01,443,4639,104
2011-01,443,4640,80
2011-01,443,4641,44
2011-01,443,4642,49
2011-01,443,4643,33
2011-01,443,4644,21
2011-01,443,4645,29
2011-01,443,4646,24
2011-01,443,4647,26
2011-01,443,4648,4
2011-01,443,4649,81
2011-01,443,4650,24
2011-01,443,4651,49
2011-01,443,4652,8
2011-01,444,4614,25
2011-01,444,4615,46
2011-01,444,4616,13
2011-01,444,4617,9
2011-01,444,4618,8
2011-01,444,4619,32
2011-01,444,4620,43
2011-01,444,4621,64
2011-01,444,4622,129
2011-01,444,4623,53
2011-01,444,4624,117
2011-01,444,4625,121
2011-01,444,4626,110
2011-01,444,4627,144
2011-01,444,4628,110
2011-01,444,4629,48
2011-01,444,4630,26
2011-01,444,4631,28
2011-01,444,4632,3
2011-01,444,4633,43
2011-01,444,4634,38
2011-01,444,4635,24
2011-01,444,4636,55
2011-01,444,4637,54
2011-01,444,4638,79
2011-01,444,4639,130
2011-01,444,4640,48
2011-01,444,4641,47
2011-01,444,4642,40
2011-01,444,4643,40
2011-01,444,4644,50
2011-01,444,4645,32
2011-01,444,4646,55
2011-01,444,4647,31
2011-01,444,4648,36
2011-01,444,4649,37
2011-01,444,4650,81
2011-01,444,4651,71
2011-01,444,4652,93
2011-01,445,4613,10
2011-01,445,4614,29
2011-01,445,4615,51
2011-01,445,4616,28
2011-01,445,4617,33
2011-01,445,4618,23
2011-01,445,4619,58
2011-01,445,4620,56
2011-01,445,4621,71
2011-01,445,4622,101
2011-01,445,4623,75
2011-01,445,4624,76
2011-01,445,4625,88
2011-01,445,4626,82
2011-01,445,4627,99
2011-01,445,4628,42
2011-01,445,4629,4
2011-01,445,4630,5
2011-01,445,4631,21
2011-01,445,4632,21
2011-01,445,4633,23
2011-01,445,4634,80
2011-01,445,4635,48
2011-01,445,4636,40
2011-01,445,4637,54
2011-01,445,4638,59
2011-01,445,4639,32
2011-01,445,4640,59
2011-01,445,4641,49
2011-01,445,4642,59
2011-01,445,4643,80
2011-01,445,4644,62
2011-01,445,4645,60
2011-01,445,4646,169
2011-01,445,4647,81
2011-01,445,4648,96
2011-01,445,4649,62
2011-01,445,4650,38
2011-01,445,4651,11
2011-01,446,4612,27
2011-01,446,4613,37
2011-01,446,4614,58
2011-01,446,4615,63
2011-01,446,4616,28
2011-01,446,4617,57
2011-01,446,4618,43
2011-01,446,4619,31
2011-01,446,4620,66
2011-01,446,4621,39
2011-01,446,4622,109
2011-01,446,4623,99
2011-01,446,4624,141
2011-01,446,4625,99
2011-01,446,4626,72
2011-01,446,4627,60
2011-01,446,4628,31
2011-01,446,4629,26
2011-01,446,4630,14
2011-01,446,4631,63
2011-01,446,4632,34
2011-01,446,4633,24
2011-01,446,4634,44
2011-01,446,4635,42
2011-01,446,4636,127
2011-01,446,4637,91
2011-01,446,4638,69
2011-01,446,4639,64
2011-01,446,4640,57
2011-01,446,4641,71
2011-01,446,4642,78
2011-01,446,4643,99
2011-01,446,4644,69
2011-01,446,4645,29
2011-01,446,4646,16
2011-01,446,4647,2
2011-01,447,4612,20
2011-01,447,4613,58
2011-01,447,4614,109
2011-01,447,4615,75
2011-01,447,4616,75
2011-01,447,4617,80
2011-01,447,4618,38
2011-01,447,4619,59
2011-01,447,4620,44
2011-01,447,4621,24
2011-01,447,4622,49
2011-01,447,4623,111
2011-01,447,4624,100
2011-01,447,4625,43
2011-01,447,4626,44
2011-01,447,4627,51
2011-01,447,4628,28
2011-01,447,4629,40
2011-01,447,4630,25
2011-01,447,4631,19
2011-01,447,4632,26
2011-01,447,4633,41
2011-01,447,4634,26
2011-01,447,4635,49
2011-01,447,4636,231
2011-01,447,4637,216
2011-01,447,4638,174
2011-01,447,4639,173
2011-01,447,4640,33
2011-01,447,4641,16
2011-01,447,4642,15
2011-01,447,4643,1
2011-01,447,4645,1
2011-01,448,4610,2
2011-01,448,4611,15
2011-01,448,4612,9
2011-01,448,4613,46
2011-01,448,4614,76
2011-01,448,4615,99
2011-01,448,4616,92
2011-01,448,4617,82
2011-01,448,4618,37
2011-01,448,4619,73
2011-01,448,4620,37
2011-01,448,4621,27
2011-01,448,4622,59
2011-01,448,4623,95
2011-01,448,4624,97
2011-01,448,4625,132
2011-01,448,4626,121
2011-01,448,4627,107
2011-01,448,4628,91
2011-01,448,4629,87
2011-01,448,4630,103
2011-01,448,4631,95
2011-01,448,4632,52
2011-01,448,4633,32
2011-01,448,4634,53
2011-01,448,4635,54
2011-01,448,4636,67
2011-01,448,4637,119
2011-01,448,4638,174
2011-01,448,4639,8
2011-01,448,4640,1
2011-01,449,4611,51
2011-01,449,4612,7
2011-01,449,4613,1
2011-01,449,4614,2
2011-01,449,4615,46
2011-01,449,4616,15
2011-01,449,4617,40
2011-01,449,4618,4
2011-01,449,4619,42
2011-01,449,4620,48
2011-01,449,4621,114
2011-01,449,4622,158
2011-01,449,4623,95
2011-01,449,4624,88
2011-01,449,4625,162
2011-01,449,4626,38
2011-01,449,4627,33
2011-01,449,4628,111
2011-01,449,4629,103
2011-01,449,4630,44
2011-01,449,4631,25
2011-01,449,4632,1
2011-01,449,4633,1
2011-01,449,4637,7
2011-01,450,4611,11
2011-01,450,4612,1
2011-01,450,4615,1
2011-01,450,4617,13
2011-01,450,4618,16
2011-01,450,4619,37
2011-01,450,4620,27
2011-01,450,4621,59
2011-01,450,4622,83
2011-01,450,4623,63
2011-01,450,4624,52
2011-01,450,4625,53
2011-01,450,4626,15
2011-01,450,4627,45
2011-01,450,4628,53
2011-01,450,4629,42
2011-01,450,4630,7
2011-01,451,4617,1
2011-01,451,4618,3
2011-01,451,4619,41
2011-01,451,4620,45
2011-01,451,4621,37
2011-01,451,4622,85
2011-01,451,4623,115
2011-01,451,4624,138
2011-01,451,4625,26
2011-01,451,4626,8
2011-01,451,4627,45
2011-01,451,4628,19
2011-01,452,4616,5
2011-01,452,4617,12
2011-01,452,4618,37
2011-01,452,4619,49
2011-01,452,4620,49
2011-01,452,4621,38
2011-01,452,4622,108
2011-01,452,4623,146
2011-01,452,4624,113
2011-01,452,4625,3
2011-01,453,4611,1
2011-01,453,4612,6
2011-01,453,4616,20
2011-01,453,4617,17
2011-01,453,4618,32
2011-01,453,4619,38
2011-01,453,4620,82
2011-01,453,4621,61
2011-01,453,4622,207
2011-01,453,4623,159
2011-01,454,4610,2
2011-01,454,4611,19
2011-01,454,4612,4
2011-01,454,4615,2
2011-01,454,4616,5
2011-01,454,4617,1
2011-01,454,4618,8
2011-01,454,4619,50
2011-01,454,4620,73
2011-01,454,4621,65
2011-01,454,4622,45
2011-01,455,4610,2
2011-01,455,4611,6
2011-01,455,4614,7
2011-01,455,4615,20
2011-01,455,4616,35
2011-01,455,4617,37
2011-01,455,4618,23
2011-01,455,4619,7
2011-01,456,4611,1
2011-01,456,4616,9
2011-02,424,4645,8
2011-02,424,4646,1
2011-02,424,4647,23
2011-02,424,4651,1
2011-02,425,4647,26
2011-02,426,4647,10
2011-02,426,4648,3
2011-02,428,4647,1
2011-02,429,4646,1
2011-02,429,4647,4
2011-02,429,4648,2
2011-02,430,4643,2
2011-02,430,4644,10
2011-02,430,4645,2
2011-02,430,4646,1
2011-02,430,4647,22
2011-02,430,4648,4
2011-02,431,4643,7
2011-02,431,4644,6
2011-02,431,4647,1
2011-02,431,4648,2
2011-02,431,4649,1
2011-02,432,4642,2
2011-02,432,4643,12
2011-02,432,4644,15
2011-02,432,4647,5
2011-02,432,4648,10
2011-02,432,4649,6
2011-02,432,4650,18
2011-02,432,4651,6
2011-02,432,4652,1
2011-02,433,4625,3
2011-02,433,4626,14
2011-02,433,4627,5
2011-02,433,4639,1
2011-02,433,4640,6
2011-02,433,4641,19
2011-02,433,4642,15
2011-02,433,4643,15
2011-02,433,4644,22
2011-02,433,4647,10
2011-02,433,4648,9
2011-02,433,4649,9
2011-02,433,4650,2
2011-02,433,4652,1
2011-02,434,4625,12
2011-02,434,4626,4
2011-02,434,4627,9
2011-02,434,4640,8
2011-02,434,4641,25
2011-02,434,4642,39
2011-02,434,4643,13
2011-02,434,4644,7
2011-02,434,4645,6
2011-02,434,4646,4
2011-02,434,4647,10
2011-02,434,4648,13
2011-02,434,4649,14
2011-02,435,4625,11
2011-02,435,4626,15
2011-02,435,4627,14
2011-02,435,4635,6
2011-02,435,4636,9
2011-02,435,4637,14
2011-02,435,4638,19
2011-02,435,4639,27
2011-02,435,4640,30
2011-02,435,4641,45
2011-02,435,4642,43
2011-02,435,4643,22
2011-02,435,4644,24
2011-02,435,4645,21
2011-02,435,4646,11
2011-02,435,4647,11
2011-02,435,4648,14
2011-02,435,4649,7
2011-02,435,4650,2
2011-02,435,4651,1
2011-02,436,4625,25
2011-02,436,4626,4
2011-02,436,4627,17
2011-02,436,4635,12
2011-02,436,4636,96
2011-02,436,4637,101
2011-02,436,4638,102
2011-02,436,4639,95
2011-02,436,4640,39
2011-02,436,4641,56
2011-02,436,4642,37
2011-02,436,4643,44
2011-02,436,4644,26
2011-02,436,4645,18
2011-02,436,4646,21
2011-02,436,4647,19
2011-02,436,4648,7
2011-02,436,4649,2
2011-02,436,4650,4
2011-02,437,4625,10
2011-02,437,4627,18
2011-02,437,4628,7
2011-02,437,4629,3
2011-02,437,4635,13
2011-02,437,4636,200
2011-02,437,4637,117
2011-02,437,4638,125
2011-02,437,4639,86
2011-02,437,4640,67
2011-02,437,4641,44
2011-02,437,4642,36
2011-02,437,4643,36
2011-02,437,4644,38
2011-02,437,4645,24
2011-02,437,4646,17
2011-02,437,4647,11
2011-02,437,4648,4
2011-02,437,4649,5
2011-02,438,4620,1
2011-02,438,4621,5
2011-02,438,4622,44
2011-02,438,4624,12
2011-02,438,4625,18
2011-02,438,4626,13
2011-02,438,4627,24
2011-02,438,4628,33
2011-02,438,4629,8
